"STUB_1","STUB_2","1/5/18","12/29/17","1/6/17","1/8/16","1/5/18","1/6/17"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.016","0.016","0.017","0.013","– –","– –"
"Stocks (Million Barrels) ","Blended with Fuel Ethanol","0.044","0.037","0.042","0.037","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.028","0.021","0.025","0.024","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.016","0.016","0.017","0.013","– –","– –"
"Stocks (Million Barrels) ","Other","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","0.000","0.000","0.000","0.000","– –","– –"
"Stocks (Million Barrels) ","Conventional","24.331","24.950","28.760","27.757","– –","– –"
"Stocks (Million Barrels) ","East Coast (PADD 1)","5.314","4.942","5.298","5.682","– –","– –"
"Stocks (Million Barrels) ","Midwest (PADD 2)","6.594","6.564","7.048","7.389","– –","– –"
"Stocks (Million Barrels) ","Gulf Coast (PADD 3)","8.364","9.677","11.808","10.527","– –","– –"
"Stocks (Million Barrels) ","Rocky Mountain (PADD 4)","1.869","1.732","2.234","2.300","– –","– –"
"Stocks (Million Barrels) ","West Coast (PADD 5)","2.189","2.035","2.372","1.860","– –","– –"
"Stocks (Million Barrels) ","Blended with Fuel Ethanol","0.264","0.189","0.215","0.228","– –","– –"
